"","Estimate","Std. Error","z value","Pr(>|z|)","Estimate","Std. Error","z value","Pr(>|z|)","Estimate","Std. Error","z value","Pr(>|z|)"
"edges",-7.46560634523248,0.380657982093841,-19.6123730393549,1.2124094684358e-85,-5.82429568316004,0.998340304730826,-5.83397830936055,5.41211600704335e-09,-4.60820150528163,0.105672839905904,-43.6081921275607,0
"isolates",-2.12418156672705,0.555077596554927,-3.8268191328757,0.000129809822307591,2.05058680525881,0.386784075213506,5.30163193540705,1.14772057331763e-07,1.92840592418804,0.540294728682638,3.56917404856038,0.000358108464466331
"gwesp.fixed.0.693147180559945",2.61494960378692,0.0769581686578734,33.9788439536808,4.57550284566382e-253,1.31566750578563,0.07836114153963,16.7897950429965,2.89844092353876e-63,1.81007880604275,0.0681733420594515,26.5511232303126,2.49263427377084e-155
"gwdeg.fixed.0.693147180559945",1.98194879822878,0.208595686226663,9.50138919016366,2.07108664094549e-21,3.88708045610172,0.365092654225761,10.6468328275323,1.80398611701333e-26,4.13427257823948,0.365631978485776,11.307196365485,1.20890863255741e-29
"nodecov.place.joined",-0.000260279818965132,0.00591198302686293,-0.0440258061943802,0.964883833438341,-0.0205062673497931,0.0163212242441093,-1.25641722968143,0.208964738025819,-0.0299091327415356,0.00782050745496691,-3.8244491056063,0.000131064815780407
"nodematch.place.joined",0.000646453679081784,0.133805106460922,0.00483130798353038,0.996145188947666,-0.0665505197726002,0.227296504331295,-0.29279165541235,0.769681406907521,-0.0185217125206583,0.280947239482116,-0.0659259459349034,0.947436783644825
"nodematch.country.joined",0.564412303232107,0.0536287929038969,10.5244267616378,6.66659889878425e-26,1.46378940272474,0.116870258480907,12.5249094316316,5.45535887793529e-36,1.15512611241913,0.122413572560658,9.43625848225896,3.86328384268052e-21
"nodecov.educ",0.0243988882512788,0.0159333204634034,1.53131221501002,0.125692248078244,-0.0797276883153016,0.0446701849304454,-1.78480766174224,0.0742925201666624,0.0184200276228281,0.0340327331847364,0.541244440252288,0.58833911014466
"absdiff2.educ",0.000686149008768503,0.00820196704392361,0.0836566405465909,0.933329432075916,-0.00799308058791606,0.017222952076926,-0.464094689006572,0.642579906676576,-0.00728001804801909,0.0160078862944324,-0.454776971432582,0.649269699165865
"nodecov.age",0.0625213784851625,0.0456504568644703,1.36956742121507,0.1708219751904,0.306744371871979,0.134143503907441,2.28668823265293,0.022214027031434,0.352920287369486,0.0731181381319912,4.82671326685593,1.38804741248483e-06
"absdiff2.age",-0.0421257814571812,0.0122701991737353,-3.43317829325481,0.000596549673893509,-0.0138422126648195,0.0263718500682203,-0.524885915436787,0.599662501082086,-0.0136929945593807,0.0215839117910741,-0.634407455512457,0.525814945267837
"nodecov.year.joined",0.0423676981881354,0.0440208120038965,0.962446994035124,0.335825117144521,0.430991024824857,0.114368386439296,3.76844544408796,0.00016426737665376,0.281074317742522,0.0634180801308895,4.43208493796105,9.33262372981841e-06
"absdiff2.year.joined",-0.189313410461192,0.0416194608636818,-4.54867522386365,5.3984682701523e-06,-0.52641730545069,0.0986808834395695,-5.33454187986733,9.57860793284134e-08,-0.468900504705109,0.0814328053103619,-5.75812785667895,8.50519263315724e-09
"nodecov.ses",-0.110516116423131,0.0299257636375776,-3.69300906608633,0.000221616119133833,0.0247186885321263,0.0782907341064465,0.315729425892443,0.752207889671768,-0.136752328410408,0.063751698090731,-2.14507742547944,0.0319466570270833
